PostalCode,Borough,Neighbourhood Number,"Population, 2016",Population density per square kilometre,Land area in square kilometres,South Asian,Chinese,Black,Filipino,Latin American,Arab,Southeast Asian,West Asian,Korean,Japanese,White
M1B,Scarborough,263,90290,6208,45.74,41.64,6,16.49,9.92,1.41,0.84,0.55,1.32,0.16,0.15,14.64
M1C,Scarborough,134,12494,2403,5.2,36.14,7.64,12.41,6.44,1.64,0.68,0.68,0.8,1.04,0.28,25.49
M1E,Scarborough,411,54764,8570,19.04,18.74,3.44,15.05,8.04,1.74,0.5,0.9,1.29,0.37,0.53,43.03
M1G,Scarborough,137,53485,4345,12.31,40.28,6.95,10.91,7.65,1.39,1.14,0.59,2.47,0.39,0.19,23.36
M1H,Scarborough,127,29960,4011,7.47,27.72,14.69,6.38,9.63,1.77,1.12,1.03,2.72,0.68,0.52,26.77
M1J,Scarborough,139,16724,5395,3.1,33.01,2.33,19.91,5.68,1.67,0.84,0.42,3.41,0.12,0.12,26.13
M1K,Scarborough,125,13641,7031,1.94,27.34,4.4,12.5,17.59,1.65,1.72,0.99,1.28,0.26,0.07,26.83
M1L,Scarborough,302,56512,26604,10.3,31.84,5.75,12.58,6.93,1.27,0.74,0.98,2.23,0.55,0.4,31.57
M1M,Scarborough,385,55834,14094,13.83,23.88,4.92,12.26,11.01,1.36,0.84,0.88,1.5,0.27,0.43,36.61
M1N,Scarborough,122,22291,3765,5.92,6.3,5.34,3.99,3.72,1.01,0.47,1.19,0.43,0.13,0.87,71.51
M1P,Scarborough,256,51575,6976,15.42,20.29,40.71,6.43,8.77,0.61,1.93,0.98,1.84,0.05,0.2,12.58
M1R,Scarborough,119,27917,2724,10.25,15.03,6.84,7.36,12.2,2.15,4.24,0.77,1.92,0.68,0.25,43.95
M1S,Scarborough,128,23757,3034,7.83,17.64,46.77,6.5,5.39,0.97,1.26,0.65,1.58,0.59,0.17,13.97
M1T,Scarborough,118,27446,5073,5.41,17.09,31.57,6.78,7.82,1.31,2.08,0.6,1.55,0.93,0.64,24.43
M1V,Scarborough,379,86468,12552,19.96,17.75,32.86,6.64,5.47,0.79,1.5,0.65,0.99,0.33,0.39,29.13
M1W,Scarborough,116,24623,5436,4.53,6.34,72.11,2.42,2.42,0.12,2.09,0.69,0.45,0.49,0.24,8.93
M1X,Scarborough,25,30491,5864,5.2,7.05,3.84,24.14,4.97,12.07,1.13,13.07,1.39,0.03,0.03,23.17
M2H,North York,48,16934,3148,5.38,9.01,48.57,3.66,1.8,1.3,1.06,0.53,3.84,3.84,0.35,24.39
M2J,North York,100,42774,12488,6.8,16.04,22.66,4.95,7.83,2.18,4.2,0.72,8.52,2.96,0.41,26.12
M2K,North York,52,21396,4195,5.1,6.36,27.39,3.53,3.58,1.92,1.66,0.93,11.4,7.74,0.84,31.01
M2L,North York,81,27078,3470,16.24,5.04,18.4,2.47,1.38,1.21,0.74,0.44,4.9,3.3,0.7,59.14
M2M,North York,137,90362,19083,13.8,5.58,27.12,1.95,6.13,1.45,1.65,0.74,11.51,10.51,0.87,29.43
M2N,North York,37,16936,5820,2.91,5.08,21.58,1.3,1.56,1.12,1.12,1,10.21,11.4,0.86,41.57
M2R,North York,35,26274,7339,3.58,2.74,2.95,4,22.8,1.71,1.03,0.46,3.24,3.52,0.4,54.85
M3A,North York,45,34805,4691,7.42,10.37,8.26,11.23,7,2.94,4.35,0.56,4.6,1.67,0.65,44.98
M3B,North York,42,27695,2775,9.98,10.2,16.72,3.5,4.1,1.26,1.99,0.4,2.73,2.02,0.76,51.6
M3C,North York,44,21933,9026,2.43,34.88,4.63,9.71,10.35,1.78,1.69,1.05,9.98,1.14,0.21,21.41
M3H,North York,93,67397,9693,23.84,3.28,3.13,7.48,15.12,5.15,0.88,2.7,1.38,1.12,0.22,56.03
M3J,North York,27,27593,2086,13.23,15.15,5.44,18.86,9.59,6.4,1.01,4.98,2.19,1.41,0.11,30.55
M3K,North York,38,16164,3038,5.32,6.22,10.76,2.51,6.46,1.48,1.14,0.56,6.03,5.41,0.43,56.55
M3M,North York,110,11058,6467,1.71,8.27,1.45,10.81,6.87,8.23,0.23,3.03,0.68,0.18,0.36,57.42
M4A,North York,43,17510,3710,4.72,17.05,4.17,11.85,7.08,2.46,6.11,0.54,4.11,0.91,0.43,40.18
M4B,East York,118,31216,11618,6.54,7.06,5.79,8.09,3.94,1.47,0.58,0.57,1.29,0.47,0.79,66.93
M4C,East York,60,7865,6722,1.17,4.39,9.28,6.04,3.69,1.97,0.57,0.7,0.38,0.83,0.89,68.85
M4E,East Toronto,63,21567,6058,3.56,2.99,2.85,1.6,1.07,1,0.42,0.74,0.26,0.53,0.51,85.62
M4G,East York,56,16828,3596,4.68,2.67,6.09,1.66,1.34,0.83,0.45,0.51,0.95,1.19,0.45,81.47
M4H,East York,55,21108,6787,3.11,46.64,2.06,5.28,7.13,1.44,3.25,0.45,8.5,0.62,0.09,20.58
M4J,East York,57,11499,6764,1.7,5.48,4.09,4.91,4.35,2.17,1.09,0.74,1.22,0.61,0.61,71.31
M4K,East Toronto,200,61173,17944,13.31,5.88,10.88,4.94,2.39,1.2,0.51,1.03,0.54,0.65,0.84,66.8
M4L,East Toronto,54,18675,3780,4.94,9.26,3.4,9.99,6,1.82,0.83,0.54,2.33,0.54,0.78,61.69
M4N,Central Toronto,208,29786,11092,5.52,2.25,6.94,1.54,1.86,0.7,0.17,0.54,1.44,1.44,0.66,80.58
M4P,Central Toronto,203,46433,27380,4.45,5.22,5.5,3.4,2.99,2.45,0.87,0.34,2.63,1.97,0.84,70.91
M4S,Central Toronto,100,11817,7162,1.65,3.77,8.29,2.5,2.45,1.86,0.89,0.63,1.82,2.12,0.97,73.2
M4T,Central Toronto,98,20923,4500,4.65,2.89,5.5,1.89,1,1.29,0.74,0.22,1.12,1.43,0.65,80.68
M4V,Central Toronto,97,12528,10708,1.17,4.47,4.59,1.88,1.84,1.28,1,0.4,1.52,1.08,0.92,77.75
M4V,Central Toronto,96,10968,5683,1.93,3.28,3.83,2.55,0.77,2.05,0.59,0.5,0.59,1,0.73,82.28
M4X,Downtown Toronto,145,30284,52656,1.82,12.38,5.48,7.87,9.6,2.77,1.53,1.26,1.24,1.28,0.38,49.8
M5A,Downtown Toronto,149,76716,25823,8.01,17.93,13.09,9.55,2.46,2.39,2.25,2.32,1.8,1.15,0.56,42.69
M5B,Downtown Toronto,107,21210,9511,2.23,2.95,4.15,12.82,9.01,6.25,0.52,1.82,0.68,0.57,0.59,56.15
M5C,Downtown Toronto,46,15818,5273,3,8.28,35.59,4.71,3.86,0.92,2.56,0.79,3.03,1.58,0.7,35.78
M5G,Downtown Toronto,76,25797,14097,1.83,9.38,28.82,3,1.47,1.78,5.08,1.32,2.38,5.19,1.3,37.5
M5H,Downtown Toronto,69,7727,8134,0.95,5.76,12.29,12.29,0.71,1.04,0.58,1.16,1.88,0.19,0.45,61.15
M5J,Downtown Toronto,73,20506,14753,1.39,6.41,7,12.63,2.07,1.93,1.27,1.66,1.37,0.85,0.51,51.67
M5K,Downtown Toronto,80,13826,9601,1.44,2.86,8.21,2.39,0.69,1.74,0.4,0.61,0.54,1.45,0.9,78.19
M5M,North York,39,23236,4209,5.52,1.96,4.43,1.36,7.7,1.48,0.39,0.32,1.31,0.84,0.28,78.63
M5N,Central Toronto,1,33312,1117,29.81,41.79,1.41,18.79,4.85,3.9,0.72,1.47,0.9,0.18,0.18,17.83
M5P,Central Toronto,203,23538,12434,4.04,1.81,3.18,2.91,7.79,2.29,0.44,0.43,1.07,0.66,0.38,76.62
M5R,Central Toronto,95,30526,10863,2.81,3.69,7.03,3.06,1.15,1.33,0.98,0.62,1.11,1.98,0.84,70.04
M5S,Downtown Toronto,79,7607,5395,1.41,5.19,10.98,2.37,1.84,1.58,0.53,1.05,0.53,2.17,1.38,58.76
M5T,Downtown Toronto,78,17945,11806,1.52,4.24,33.85,4.9,2.48,1.76,1.67,3.26,1.09,1.84,1.23,38.67
M5V,Downtown Toronto,207,48217,22824,6.28,4.46,7.26,3.51,2.77,2,0.8,1.33,0.86,0.88,0.98,71.49
M5X,Downtown Toronto,24,21737,6282,3.46,9.71,3.52,29.05,4.23,8.19,3.24,11.94,2.85,0.18,0.14,18.98
M6A,North York,112,6577,3614,1.82,5.02,1.67,31.47,6.01,5.09,1.06,3.27,0.15,0.23,0,39.68
M6C,York,106,14365,7682,1.87,2.23,2.05,4.94,9.99,3.69,0.8,0.56,0.38,1.04,0.84,70.48
M6E,York,109,9955,6464,1.54,2.31,2.36,8.64,8.94,8.29,0,1.61,0.1,0.3,0.1,63.49
M6H,West Toronto,177,26134,17081,3.06,3.71,6.39,5.54,2.26,3.63,0.71,1.57,0.38,0.98,0.47,67.75
M6J,West Toronto,165,32115,22429,2.94,2.28,14.35,3.02,1.04,2.04,0.37,1.55,0.43,0.78,0.63,69.14
M6K,West Toronto,199,29834,14280,3.98,5.88,2.65,10.05,4.51,2.12,0.63,1.78,0.68,0.55,0.2,62.32
M6L,North York,61,32483,10478,5.98,5.69,1.56,9.06,14.77,4.42,0.38,1.82,0.45,0.62,0.16,56.64
M6M,York,237,39495,16494,9.61,4.43,3.53,17.75,5.56,7.33,0.54,4.3,0.44,0.53,0.29,48.44
M6N,York,120,32123,10487,6.16,5.18,4.35,15.35,5.66,7,0.25,4.46,0.49,0.39,0.43,51.65
M6P,West Toronto,268,82712,26438,10.51,4.78,5.56,4.63,1.6,3.33,0.66,1.82,0.62,1.31,0.69,71.18
M6R,West Toronto,86,14974,9851,1.52,5.58,3.74,5.14,2,1.94,0.4,2.1,0.2,0.47,0.63,73.99
M6S,West Toronto,89,10070,6333,1.59,2.43,3.62,2.14,1.44,1.19,0.2,0.5,0.25,1.14,1.34,84.06
M7R,Mississauga,22,15545,3565,4.36,21.07,2.41,22.13,5.66,11.77,1,6.98,0.93,0.42,0.23,22.93
M8V,Etobicoke,35,45427,8257,10.34,5.32,3.89,8,3.45,2.72,0.92,1.06,0.63,0.98,0.58,67.21
M8W,Etobicoke,39,22138,7019,7.15,3.88,2.13,3.58,4.59,2.01,0.65,0.85,0.61,0.35,0.25,78.03
M8X,Etobicoke,15,9271,3593,2.58,2.21,3.24,0.86,1.19,0.59,0.22,0.27,0.43,1.46,0.49,86.94
M8Y,Etobicoke,38,52434,12621,15.1,5.34,2.49,4.71,2.9,3.24,0.84,0.92,1.17,1.72,0.5,72.28
M8Z,Etobicoke,139,32187,9148,7.14,4.34,1.73,25.02,3.55,8.64,0.55,4.2,0.34,0.13,0.2,46.81
M9B,Etobicoke,75,105450,14937,26.38,6.68,14.15,3.55,2.1,2.05,1.45,0.85,4.62,5.36,0.75,55.89
M9C,Etobicoke,23,29142,5785,11.48,4.52,3.36,3.48,1.67,1.72,0.61,0.53,0.57,2.21,0.46,78.95
M9L,North York,21,12416,1570,7.91,28.91,1.09,14.78,2.78,7.21,1.65,3.54,2.05,0.36,0,34.35
M9M,North York,23,10722,2547,4.21,6.99,2.15,11.19,4.52,7.65,0.51,6.58,0.42,0.28,0.19,56.29
M9N,York,113,17992,7197,2.5,4.25,1.86,33.6,3.28,7.73,0.67,3.06,0.81,0.42,0.36,38.49
M9P,Etobicoke,108,14257,7791,1.83,2.88,1.82,8.21,21.29,6.45,0.32,1.19,0.28,0.91,0.49,54.08
M9R,Etobicoke,10,32529,8585,7.54,15,1.72,19.12,4,6.26,1.15,1.42,2.24,0.52,0.25,43.78
M9V,Etobicoke,59,65924,16967,14.75,18.08,9.05,19.09,2.92,4.72,3.28,1.97,4.36,1.78,0.22,28.57